#
#03808  Camborne Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
  351.0   8343  -33.1  -38.0     61   0.41    290     35  323.8  325.3  323.8
  350.0   8363  -33.3  -39.3     55   0.36    291     35  323.8  325.1  323.8
  348.0   8404  -32.9  -47.9     21   0.14    293     36  324.8  325.4  324.9
  347.0   8424  -32.9  -51.9     13   0.09    294     36  325.1  325.5  325.1
  346.0   8444  -33.0  -51.8     14   0.09    295     36  325.2  325.6  325.2
  336.0   8650  -34.5  -50.5     18   0.11    297     38  325.9  326.4  325.9
  324.0   8903  -36.7  -53.7     16   0.08    299     40  326.3  326.6  326.3
  322.0   8945  -37.1  -51.1     22   0.11    299     40  326.3  326.8  326.3
  318.0   9032  -37.9  -51.9     22   0.10    300     41  326.4  326.8  326.4
  317.0   9053  -38.1  -52.1     22   0.10    299     41  326.4  326.8  326.4
  312.0   9162  -39.1  -50.1     30   0.13    295     41  326.5  327.0  326.5
  306.0   9295  -40.1  -52.1     27   0.10    291     42  326.9  327.3  326.9
  305.0   9318  -40.3  -51.8     28   0.11    290     42  326.9  327.3  326.9
  302.0   9385  -40.9  -50.9     33   0.12    293     43  327.0  327.5  327.0
  300.0   9430  -41.1  -54.1     23   0.08    295     44  327.3  327.7  327.3
  299.0   9453  -41.1  -55.1     21   0.07    295     44  327.6  327.9  327.6
  296.0   9522  -41.7  -53.7     26   0.09    295     45  327.7  328.1  327.8
  292.0   9614  -42.5  -55.5     23   0.07    295     45  327.9  328.2  327.9
  289.0   9684  -43.1  -54.1     29   0.08    294     44  328.0  328.3  328.0
  283.0   9826  -44.1  -57.1     22   0.06    293     44  328.5  328.8  328.5
  272.0  10092  -46.3  -57.3     28   0.06    292     43  329.1  329.3  329.1
  267.0  10216  -46.9  -61.9     16   0.03    292     42  329.9  330.1  329.9
  260.0  10392  -48.5  -60.5     24   0.04    291     42  330.1  330.3  330.1
  255.0  10520  -49.6  -61.1     25   0.04    290     41  330.3  330.5  330.3
  250.0  10650  -50.7  -61.7     26   0.04    295     41  330.6  330.7  330.6
  243.0  10834  -52.5  -61.5     33   0.04    297     42  330.6  330.7  330.6
  239.0  10942  -53.1  -63.1     29   0.03    298     43  331.2  331.4  331.2
  233.0  11105  -54.7  -63.7     32   0.03    299     44  331.2  331.4  331.2
  230.0  11188  -55.1  -65.1     28   0.03    300     45  331.8  331.9  331.8
  223.0  11385  -56.3  -66.3     27   0.02    302     46  332.9  333.0  332.9
  211.0  11735  -58.3  -67.3     31   0.02    305     49  335.1  335.2  335.1
  210.0  11764  -58.5  -67.2     32   0.02    305     49  335.3  335.4  335.3
  200.0  12070  -60.5  -66.5     45   0.02    300     47  336.8  336.9  336.8
  196.0  12196  -61.1  -67.1     45   0.02    298     46  337.8  337.9  337.8
  191.0  12356  -61.7  -68.7     39   0.02    295     45  339.3  339.4  339.3
  184.0  12587  -61.4  -73.8     18   0.01    300     51  343.5  343.5  343.5
  182.0  12655  -61.3  -75.3     14   0.01    300     50  344.7  344.7  344.7
  161.0  13413  -62.9  -79.9      8   0.00    300     41  354.3  354.3  354.3
  150.0  13850  -61.7  -82.7      5   0.00    300     36  363.6  363.6  363.6
  147.0  13975  -61.1  -83.1      4   0.00    297     36  366.7  366.8  366.7
  139.0  14320  -61.6  -83.8      4   0.00    290     35  371.8  371.8  371.8
  130.0  14732  -62.1  -84.7      3   0.00    295     39  378.0  378.0  378.0
  123.0  15074  -62.6  -85.4      3   0.00    310     34  383.1  383.2  383.1
  116.0  15435  -63.1  -86.1      3   0.00    303     31  388.7  388.7  388.7
  113.0  15596  -62.6  -86.1      3   0.00    300     29  392.6  392.6  392.6
  108.0  15875  -61.7  -86.1      3   0.00    305     28  399.4  399.4  399.4
  105.0  16049  -61.1  -86.1      2   0.00    301     26  403.7  403.8  403.7
  100.0  16350  -62.3  -86.3      3   0.00    295     23  407.1  407.1  407.1
   97.8  16487  -62.9  -86.9      3   0.00    295     25  408.5  408.5  408.5
   94.0  16733  -61.6  -87.2      2   0.00    295     29  415.7  415.7  415.7
   93.1  16792  -61.3  -87.3      2   0.00    299     28  417.5  417.5  417.5
   91.0  16934  -61.4  -87.5      2   0.00    310     24  420.0  420.0  420.0
   86.0  17284  -61.6  -87.9      2   0.00    310     21  426.5  426.5  426.5
   81.0  17655  -61.8  -88.3      2   0.00    285     20  433.4  433.4  433.4
   78.0  17889  -61.9  -88.5      2   0.00    290     22  437.8  437.8  437.8
   74.0  18216  -62.1  -88.9      2   0.00    320     18  444.1  444.1  444.1
   73.0  18300  -62.1  -89.0      2   0.00    290     12  445.7  445.7  445.7
   72.0  18385  -62.2  -89.1      2   0.00    275     13  447.4  447.4  447.4
   71.0  18472  -62.2  -89.2      2   0.00    270     15  449.0  449.1  449.0
   70.0  18560  -62.3  -89.3      2   0.00    280     19  450.8  450.8  450.8
   69.8  18578  -62.3  -89.3      2   0.00    283     20  451.1  451.1  451.1
   69.0  18649  -62.1  -89.4      2   0.00    295     23  452.9  452.9  452.9
   67.0  18831  -61.8  -89.5      1   0.00    315     20  457.6  457.6  457.6
   66.0  18924  -61.6  -89.6      1   0.00    320     13  460.0  460.0  460.0
   65.0  19018  -61.4  -89.7      1   0.00    310     12  462.4  462.4  462.4
   64.0  19114  -61.2  -89.8      1   0.00    300     12  464.9  464.9  464.9
   62.6  19251  -60.9  -89.9      1   0.00    300     15  468.5  468.5  468.5
   61.0  19411  -61.1  -89.9      1   0.00    300     18  471.5  471.5  471.5
   55.0  20051  -61.9  -90.1      1   0.00    325     17  483.9  483.9  483.9
   53.5  20222  -62.1  -90.1      1   0.00    315     16  487.2  487.2  487.2
   52.0  20398  -61.7  -90.1      1   0.00    305     15  492.2  492.2  492.2
   50.0  20640  -61.1  -90.1      1   0.00    310     22  499.1  499.1  499.1
   48.0  20895  -60.1  -89.8      1   0.00    315     23  507.4  507.4  507.4
   47.3  20986  -59.7  -89.7      1   0.00    322     21  510.4  510.4  510.4
   47.0  21026  -59.8  -89.7      1   0.00    325     20  511.1  511.2  511.1
   46.0  21160  -60.0  -89.8      1   0.00    305     13  513.7  513.7  513.7
   45.0  21297  -60.3  -90.0      1   0.00    300     13  516.3  516.3  516.3
   43.0  21580  -60.8  -90.2      1   0.00    300     20  521.7  521.7  521.7
