#
#03005  Lerwick Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
  329.0   8554  -42.7  -47.2     61   0.17    275     27  316.6  317.3  316.6
  327.0   8595  -43.3  -46.9     67   0.17    274     27  316.3  317.0  316.4
  320.0   8741  -44.5  -48.6     63   0.15    271     27  316.6  317.2  316.7
  317.0   8804  -45.1  -48.8     66   0.14    270     27  316.7  317.2  316.7
  312.0   8910  -46.1  -49.2     71   0.14    266     26  316.7  317.2  316.7
  310.0   8953  -46.5  -49.9     68   0.13    265     25  316.7  317.2  316.8
  308.0   8996  -46.7  -49.5     73   0.14    265     26  317.0  317.6  317.1
  305.0   9061  -47.1  -48.2     88   0.16    265     28  317.4  318.0  317.4
  303.0   9104  -47.3  -49.1     82   0.14    265     30  317.7  318.2  317.7
  302.0   9126  -47.7  -51.3     66   0.11    265     31  317.4  317.9  317.4
  301.0   9148  -47.7  -51.7     63   0.11    265     31  317.7  318.1  317.7
  300.0   9170  -48.1  -51.7     66   0.11    265     32  317.4  317.9  317.5
  297.0   9236  -48.5  -49.6     88   0.14    265     32  317.8  318.4  317.8
  296.0   9258  -48.9  -50.4     84   0.13    265     32  317.5  318.0  317.6
  295.0   9281  -49.1  -51.5     75   0.11    265     32  317.6  318.0  317.6
  294.0   9303  -49.3  -52.7     67   0.10    266     32  317.6  318.0  317.6
  293.0   9325  -49.5  -53.4     63   0.09    267     33  317.6  318.0  317.6
  290.0   9393  -49.7  -52.2     75   0.11    271     34  318.3  318.7  318.3
  289.0   9415  -50.1  -52.9     72   0.10    272     35  318.0  318.4  318.0
  286.0   9484  -50.4  -52.5     78   0.10    275     36  318.5  318.9  318.5
  285.0   9506  -50.5  -52.4     80   0.11    274     36  318.7  319.1  318.7
  280.0   9622  -51.3  -54.1     72   0.09    270     38  319.2  319.5  319.2
  277.0   9692  -51.7  -54.3     73   0.09    268     39  319.6  319.9  319.6
  274.0   9762  -52.3  -55.3     69   0.08    265     40  319.7  320.0  319.7
  271.0   9834  -52.9  -56.4     66   0.07    269     40  319.8  320.1  319.9
  263.0  10026  -54.5  -57.6     68   0.06    281     41  320.2  320.5  320.2
  257.0  10174  -55.3  -59.3     61   0.05    290     41  321.2  321.4  321.2
  251.0  10325  -56.1  -59.7     64   0.05    290     42  322.2  322.4  322.2
  250.0  10350  -56.3  -60.0     63   0.05    290     42  322.2  322.4  322.2
  248.0  10401  -56.5  -60.9     57   0.04    290     42  322.7  322.9  322.7
  243.0  10530  -55.9  -65.9     27   0.02    287     43  325.5  325.6  325.5
  240.0  10608  -55.9  -67.9     21   0.02    286     44  326.6  326.7  326.6
