#
#16080 LIML Milano Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
   43.4  21498  -56.1  -89.1      1   0.00    220      7  531.9  532.0  531.9
   43.0  21556  -56.1  -89.1      1   0.00    200     10  533.4  533.4  533.4
   41.0  21859  -55.9  -88.9      1   0.00    245     12  541.0  541.1  541.0
   38.0  22342  -55.7  -88.7      1   0.00    230     13  553.5  553.5  553.5
   37.8  22376  -55.7  -88.7      1   0.00    233     13  554.4  554.4  554.4
   35.0  22863  -56.9  -88.8      1   0.00    270     15  563.6  563.6  563.6
   34.0  23046  -57.3  -88.8      1   0.00    255     13  567.1  567.1  567.1
   33.0  23235  -57.8  -88.9      1   0.00    280     14  570.7  570.8  570.7
   32.8  23273  -57.9  -88.9      1   0.00    277     14  571.5  571.5  571.5
   32.0  23430  -56.9  -88.7      1   0.00    265     12  578.2  578.2  578.2
   31.0  23632  -55.6  -88.5      1   0.01    305     21  586.9  586.9  586.9
   30.0  23840  -54.3  -88.3      1   0.01    310     11  596.0  596.1  596.0
   28.9  24080  -52.7  -87.7      1   0.01    294      8  606.8  606.9  606.8
   27.0  24514  -53.8  -87.8      1   0.01    265      2  615.7  615.8  615.7
   25.0  25005  -55.0  -88.0      1   0.01    235     28  625.9  626.0  625.9
   24.0  25266  -55.6  -88.0      1   0.01    255     24  631.4  631.5  631.4
   23.3  25455  -56.1  -88.1      1   0.01    257     23  635.4  635.5  635.4
   21.0  26119  -53.9  -87.3      1   0.01    265     21  661.1  661.2  661.1
   20.0  26430  -52.9  -86.9      1   0.01    270     22  673.5  673.6  673.5
   19.0  26763  -51.3  -86.6      1   0.01    285     24  688.4  688.5  688.4
   18.0  27114  -49.6  -86.4      1   0.01    245     24  704.3  704.5  704.3
   17.8  27186  -49.3  -86.3      1   0.01    249     23  707.7  707.8  707.7
   17.0  27486  -49.7  -86.4      1   0.01    265     21  715.8  716.0  715.8
   15.4  28131  -50.5  -86.5      1   0.01    245     22  733.6  733.8  733.6
   15.0  28305  -50.1  -86.4      1   0.02    240     22  740.6  740.8  740.6
   14.0  28759  -48.9  -86.1      1   0.02    260     27  759.2  759.4  759.2
   12.0  29774  -46.4  -85.4      0   0.02    245     25  802.4  802.7  802.4
   11.1  30288  -45.1  -85.1      0   0.03    245     40  825.1  825.4  825.1
   11.0  30348  -45.3  -85.2      0   0.03    245     42  826.5  826.9  826.6
   10.2  30849  -46.9  -85.9      0   0.02    261     43  838.6  838.9  838.6
   10.0  30980  -46.5  -85.5      0   0.03    265     43  844.9  845.2  844.9
    9.0  31680  -46.3  -85.3      0   0.03    265     50  871.5  872.0  871.6
    8.3  32217  -46.1  -85.1      0   0.03    262     35  892.6  893.1  892.6
    8.0  32464  -44.6  -84.0      0   0.04    260     28  908.0  908.6  908.1
#    7.6  32808  -42.5  -82.5      0   0.06                929.9  930.7  929.9
