#
#06610 LSMP Payerne Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1000.0    183                                                               
  159.0  13401  -57.1  -89.1      1   0.00    325     37  365.4  365.4  365.4
  150.0  13770  -57.5  -89.5      1   0.00    310     45  370.8  370.8  370.8
  148.0  13855  -57.9  -88.9      1   0.00    313     47  371.5  371.6  371.6
  147.0  13897  -57.6  -88.8      1   0.00    315     49  372.7  372.8  372.7
  143.0  14072  -56.5  -88.5      1   0.00    315     43  377.6  377.7  377.6
  138.0  14297  -57.5  -88.5      1   0.00    315     35  379.8  379.8  379.8
  133.0  14530  -57.5  -89.1      1   0.00    315     27  383.8  383.8  383.8
  130.0  14674  -57.5  -89.5      1   0.00    314     27  386.3  386.3  386.3
  117.0  15334  -60.1  -90.4      1   0.00    310     25  393.3  393.3  393.3
  115.0  15442  -60.5  -90.5      1   0.00    310     28  394.5  394.5  394.5
  111.0  15662  -60.8  -90.8      1   0.00    310     33  398.0  398.0  398.0
  104.0  16066  -61.2  -91.2      1   0.00    320     27  404.6  404.6  404.6
  100.0  16310  -61.5  -91.5      1   0.00    330     21  408.6  408.6  408.6
   99.9  16316  -61.5  -91.5      1   0.00    330     21  408.8  408.8  408.8
   91.5  16858  -62.9  -92.9      1   0.00    320     22  416.4  416.4  416.4
   82.5  17499  -60.5  -91.5      1   0.00    308     22  433.8  433.8  433.8
   70.1  18511  -60.9  -91.9      1   0.00    290     23  453.6  453.6  453.6
   70.0  18520  -60.9  -91.9      1   0.00    290     23  453.8  453.8  453.8
   67.0  18793  -59.1  -90.1      1   0.00    280     16  463.4  463.4  463.4
   63.0  19174  -61.0  -91.5      1   0.00    265      6  467.3  467.3  467.3
   59.0  19581  -63.1  -93.1      1   0.00    282     16  471.5  471.5  471.5
   54.0  20130  -59.7  -90.5      1   0.00    305     29  491.5  491.5  491.5
   52.9  20258  -58.9  -89.9      1   0.00    316     25  496.2  496.2  496.2
   50.0  20610  -59.7  -90.7      1   0.00    345     14  502.4  502.4  502.4
   48.0  20865  -60.3  -91.3      1   0.00    250      4  506.8  506.9  506.8
   46.7  21036  -60.7  -91.7      1   0.00    281      4  509.9  509.9  509.9
   45.0  21268  -59.3  -90.3      1   0.00    323      4  518.7  518.7  518.7
   43.0  21552  -59.9  -90.9      1   0.00     15      4  524.0  524.1  524.0
   42.0  21699  -60.2  -91.2      1   0.00    320      2  526.8  526.9  526.8
   41.6  21759  -60.3  -91.3      1   0.00    313      2  528.0  528.0  528.0
   39.0  22165  -56.9  -88.9      1   0.00    262      5  546.4  546.4  546.4
   36.0  22671  -57.5  -89.5      1   0.00    200      8  557.4  557.5  557.4
   34.3  22977  -57.9  -89.9      1   0.00    233     16  564.2  564.2  564.2
   32.5  23319  -55.1  -87.1      1   0.01    269     25  580.4  580.5  580.4
   32.0  23418  -55.2  -87.2      1   0.01    280     27  582.8  582.8  582.8
   30.0  23830  -55.5  -87.5      1   0.01    305     16  592.7  592.8  592.8
   29.6  23915  -55.7  -87.7      1   0.01    311     14  594.5  594.5  594.5
   28.7  24112  -54.5  -87.5      1   0.01    324     11  603.0  603.1  603.0
   27.0  24501  -55.7  -88.1      1   0.01    350      6  610.3  610.4  610.3
   26.0  24742  -56.4  -88.5      1   0.01    295      2  614.9  614.9  614.9
   25.9  24766  -56.5  -88.5      1   0.01    294      2  615.3  615.4  615.3
   23.9  25278  -54.1  -87.1      1   0.01    282      7  636.6  636.7  636.6
   22.5  25664  -54.9  -87.9      1   0.01    273     11  645.3  645.4  645.3
   20.0  26420  -52.9  -85.9      1   0.01    255     17  673.5  673.6  673.5
   19.7  26518  -52.3  -85.3      1   0.01    255     18  678.2  678.4  678.3
   17.5  27282  -53.5  -86.5      1   0.01    253     19  697.8  697.9  697.8
   16.0  27860  -52.5  -85.5      1   0.02    252     20  719.1  719.3  719.1
   13.8  28826  -48.1  -83.1      1   0.03    250     22  765.1  765.5  765.2
   12.2  29637  -48.7  -82.7      1   0.04    248     23  790.5  790.9  790.5
   10.0  30950  -46.9  -81.9      1   0.05    245     25  843.4  844.0  843.4
    8.5  32030  -45.5  -80.5      1   0.07    247     33  888.9  889.9  889.0
    7.9  32517  -46.3  -81.3      1   0.07    248     37  904.5  905.5  904.5
    7.4  32955  -41.9  -77.9      1   0.13    249     40  939.5  941.2  939.5
    7.0  33333  -40.6  -77.1      1   0.15    250     43  959.7  961.8  959.8
    6.6  33734  -39.3  -76.3      1   0.18    252     34  981.6  984.2  981.7
    6.0  34387  -39.1  -76.1      1   0.20    255     19 1009.4 1012.4 1009.5
    5.9  34502  -39.1  -76.1      1   0.21    257     23 1014.4 1017.5 1014.5
    5.2  35371  -36.9  -74.9      1   0.29    275     50 1061.5 1065.9 1061.7
    5.0  35644  -33.7  -72.7      1   0.41    280     58 1088.1 1094.5 1088.3
    4.4  36538  -35.1  -73.1      1   0.44    254     40 1121.9 1129.0 1122.2
    4.3  36698  -34.3  -73.3      1   0.44    250     37 1133.1 1140.3 1133.4
#    4.0                                       235     27                     
