#
#10035  Schleswig Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
   30.0  23780  -56.9  -89.9      1   0.00    325     14  588.9  589.0  588.9
   29.0  23995  -56.5  -90.0      1   0.00    270      6  595.9  595.9  595.9
   26.6  24544  -55.3  -90.3      1   0.00    294      9  614.0  614.1  614.0
   26.0  24689  -55.5  -90.3      1   0.00    300     10  617.5  617.5  617.5
   25.0  24938  -55.8  -90.4      1   0.00    305     14  623.5  623.5  623.5
   24.0  25197  -56.2  -90.5      1   0.00    305     10  629.7  629.8  629.7
   23.2  25413  -56.5  -90.5      1   0.00    297      8  635.0  635.0  635.0
   23.0  25468  -56.3  -90.4      1   0.00    295      8  637.1  637.1  637.1
   22.0  25752  -55.4  -90.1      1   0.01    250     23  648.1  648.2  648.1
   20.0  26360  -53.3  -89.3      1   0.01    275     21  672.3  672.4  672.3
   19.0  26691  -52.3  -89.1      0   0.01    300     27  685.2  685.3  685.2
   18.0  27040  -51.3  -89.0      0   0.01    325     10  699.0  699.1  699.1
   17.6  27185  -50.9  -88.9      0   0.01    339      6  704.9  705.0  704.9
   17.0  27409  -51.5  -89.1      0   0.01      0      0  709.9  710.0  709.9
   15.0  28216  -53.8  -89.9      0   0.01    205     10  728.3  728.4  728.3
   14.9  28259  -53.9  -89.9      0   0.01    209     11  729.3  729.4  729.3
   14.0  28661  -51.3  -88.9      0   0.01    245     19  751.2  751.3  751.2
   13.8  28754  -50.7  -88.7      0   0.01    246     20  756.3  756.4  756.3
   13.0  29144  -50.1  -88.3      0   0.01    250     23  771.2  771.4  771.2
   12.0  29668  -49.4  -87.8      0   0.01    275     29  791.7  791.9  791.7
   11.0  30237  -48.6  -87.3      0   0.02    260     23  814.6  814.8  814.6
   10.0  30860  -47.7  -86.7      0   0.02    260     25  840.4  840.7  840.4
    9.0  31554  -48.2  -87.2      0   0.02    270     31  864.2  864.5  864.2
    8.8  31702  -48.3  -87.3      0   0.02    269     29  869.3  869.6  869.3
    8.0  32335  -46.0  -85.6      0   0.03    265     21  902.6  903.1  902.6
    7.6  32675  -44.7  -84.7      0   0.04    255     24  921.0  921.6  921.0
    7.0  33223  -45.7  -85.0      0   0.04    240     27  938.6  939.3  938.7
